Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Texas_SWRA117D_2.4GHz_Right,1,Antenna_Shield,
AE2,Johanson_2450AT18x100,1,Conn_01x01,
"C1, C7, C8",0603,3,2.2uF,
C10,0603,1,10nF,
"C2, C3, C4",0603,3,100nF,
C5,0603,1,10uF,
"C6, C9",0603,2,4.7uF,
D1,0603,1,Red,
D3,LED_RGB_5050-6,1,LED_RGB,
J1,PinHeader_1x02_P2.00mm_Vertical,1,Conn_01x02,
J3,PinHeader_1x04_P2.54mm_Vertical,1,USB,
J4,Hirose_FH12-8S-0.5SH_1x08-1MP_P0.50mm_Horizontal,1,Conn_02x04_Odd_Even,
J5,PinSocket_1x02_P2.54mm_Horizontal,1,Pogo Pin Socket 2.54,
L1,L_Changjiang_FNR4020S,1,22uH,
L2,L_Changjiang_FNR252010S,1,2.2uH,
"R1, R4, R6",0603,3,10k,
"R10, R3",0603,2,N.C.,
R11,0603,1,NC,
R12,0603,1,180k,
R13,0603,1,810k,
"R14, R7, R9",0603,3,180,
R15,0603,1,200k,
R16,0603,1,ca. 100k,
R17,0603,1,100k,
R18,0603,1,0,
R19,0603,1,20k,
R2,0603,1,300,
R5,0603,1,2k,
R8,0603,1,0R,
U1,Bosch_LGA-14_3x2.5mm_P0.5mm,1,~,
U2,SOT-23-5,1,PJ4054B,
U3,QFN 48 fixed,1,~,
U4,SOT-23-5,1,M3406,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz,
Y2,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,Crystal_Small,
