Designator,Mid X,Mid Y,Rotation,Layer
AE2,69.0,-51.57,270.0,top
C1,61.6,-44.825,90.0,top
C10,42.895,-34.14535,0.0,top
C2,68.975,-34.975,0.0,top
C3,55.525,-41.47,270.0,top
C4,53.275,-39.15,0.0,top
C5,46.925,-33.7325,270.0,top
C6,48.475,-33.7325,270.0,top
C7,63.575,-34.2,270.0,top
C8,65.825,-34.975,180.0,top
C9,52.325,-30.3075,90.0,top
D1,42.375,-48.395,180.0,top
D3,62.475,-26.97,180.0,top
J1,42.1875,-39.7891,0.0,top
J3,42.525,-26.945,90.0,top
J4,61.725,-29.12,0.0,bottom
J5,43.725,-51.395,90.0,top
L1,66.87,-31.995,0.0,top
L2,54.775,-31.7575,90.0,top
R1,48.9,-51.645,270.0,top
R10,53.35,-36.9,90.0,top
R11,65.5992,-45.201799,325.0,top
R12,50.025,-31.1075,180.0,top
R13,50.025,-29.5575,0.0,top
R14,67.675,-28.67,180.0,top
R15,42.895,-38.78535,180.0,top
R16,42.8875,-37.26035,0.0,top
R17,42.8875,-35.7141,0.0,top
R18,45.35,-36.745,270.0,top
R19,50.45,-51.645,270.0,top
R2,42.375,-46.845,0.0,top
R3,51.8,-36.9,270.0,top
R4,50.675,-41.545,270.0,top
R5,42.375,-45.295,0.0,top
R6,49.15,-41.545,270.0,top
R7,67.675,-25.275,180.0,top
R8,64.675,-45.495,90.0,top
R9,67.675,-26.97,180.0,top
U1,53.0875,-41.77,90.0,top
U2,45.725,-46.845,90.0,top
U3,63.075,-38.95,180.0,top
U4,51.325,-33.7075,180.0,top
Y1,59.275,-43.6,90.0,top
Y2,67.525,-37.05,270.0,top
